id,precio,estrellas,link
B0GS99FG9P,PEN 102.48,4.4 out of 5 stars,https://www.amazon.com/-/es/dp/B0GS99FG9P/
B0CX1FRR27,PEN 68.31,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B0CX1FRR27/
B0GV3PNRNG,PEN 68.31,4.3 out of 5 stars,https://www.amazon.com/-/es/dp/B0GV3PNRNG/
B0F43NM23Q,PEN 136.65,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B0F43NM23Q/
B08X4YMTPM,,4.8 out of 5 stars,https://www.amazon.com/-/es/dp/B08X4YMTPM/
B0D6WD2QSQ,,4.7 out of 5 stars,https://www.amazon.com/-/es/dp/B0D6WD2QSQ/
B0GHSL9FPR,PEN 153.73,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B0GHSL9FPR/
B0FRRMD96F,PEN 116.14,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B0FRRMD96F/
B0BC27MM5Z,PEN 615.03,4.8 out of 5 stars,https://www.amazon.com/-/es/dp/B0BC27MM5Z/
B0G7GFDLQ2,PEN 112.73,4.8 out of 5 stars,https://www.amazon.com/-/es/dp/B0G7GFDLQ2/
B0DHX88N8Z,PEN 239.16,4.4 out of 5 stars,https://www.amazon.com/-/es/dp/B0DHX88N8Z/
B0FMHR94CG,PEN 153.66,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B0FMHR94CG/
B0G19DC319,PEN 68.31,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B0G19DC319/
B0D6W8GSL3,,4.7 out of 5 stars,https://www.amazon.com/-/es/dp/B0D6W8GSL3/
B0GXH3N61Z,PEN 375.84,4.7 out of 5 stars,https://www.amazon.com/-/es/dp/B0GXH3N61Z/
B0GFMN268L,PEN 136.65,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B0GFMN268L/
B0CVLD42PD,,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B0CVLD42PD/
B0D7BWV74T,PEN 64.85,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B0D7BWV74T/
B0GXH3N61Z,PEN 375.84,4.7 out of 5 stars,https://www.amazon.com/-/es/dp/B0GXH3N61Z/
B0GZMC8FC4,PEN 170.82,5.0 out of 5 stars,https://www.amazon.com/-/es/dp/B0GZMC8FC4/
B0DK1MQ4GP,PEN 122.98,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B0DK1MQ4GP/
B0GD6Z2MDB,,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B0GD6Z2MDB/
B09MFBNTG3,PEN 239.16,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B09MFBNTG3/
B0DQX1ZKS3,PEN 34.14,4.4 out of 5 stars,https://www.amazon.com/-/es/dp/B0DQX1ZKS3/
B0CXL4FQBK,PEN 266.53,4.7 out of 5 stars,https://www.amazon.com/-/es/dp/B0CXL4FQBK/
B0F998HYS5,PEN 51.22,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B0F998HYS5/
B0DRRQZ8QX,PEN 122.98,4.7 out of 5 stars,https://www.amazon.com/-/es/dp/B0DRRQZ8QX/
B01CQOV3YO,PEN 119.56,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B01CQOV3YO/
B0FTMYD6D5,PEN 854.25,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B0FTMYD6D5/
B0CKXH2Q4M,PEN 273.33,4.2 out of 5 stars,https://www.amazon.com/-/es/dp/B0CKXH2Q4M/
B0CWMZ4ZN7,PEN 136.65,4.4 out of 5 stars,https://www.amazon.com/-/es/dp/B0CWMZ4ZN7/
B0GKZX523X,PEN 204.99,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B0GKZX523X/
B0GFWK7GGV,PEN 68.31,4.3 out of 5 stars,https://www.amazon.com/-/es/dp/B0GFWK7GGV/
B0F7HVC62G,,4.7 out of 5 stars,https://www.amazon.com/-/es/dp/B0F7HVC62G/
B0DNZCJ93D,PEN 170.82,4.2 out of 5 stars,https://www.amazon.com/-/es/dp/B0DNZCJ93D/
B0GLH9D157,,4.3 out of 5 stars,https://www.amazon.com/-/es/dp/B0GLH9D157/
B09J9XTQ6H,PEN 133.23,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B09J9XTQ6H/
B0GY6WKFZL,PEN 68.31,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B0GY6WKFZL/
B0BTHL673V,"PEN 1,025.07",4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B0BTHL673V/
B09GLDC9M7,PEN 921.36,4.3 out of 5 stars,https://www.amazon.com/-/es/dp/B09GLDC9M7/
B0C29CL98P,,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B0C29CL98P/
B0FN7BRQ8F,PEN 194.73,4.3 out of 5 stars,https://www.amazon.com/-/es/dp/B0FN7BRQ8F/
B0G64LBXL2,PEN 239.16,4.4 out of 5 stars,https://www.amazon.com/-/es/dp/B0G64LBXL2/
B08B443QJ9,,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B08B443QJ9/
B09HTFCR59,PEN 854.22,4.6 out of 5 stars,https://www.amazon.com/-/es/dp/B09HTFCR59/
B0FF4NB4QG,PEN 512.52,4.2 out of 5 stars,https://www.amazon.com/-/es/dp/B0FF4NB4QG/
B08RSHZYH7,PEN 442.40,4.2 out of 5 stars,https://www.amazon.com/-/es/dp/B08RSHZYH7/
B0FVSRZZP8,PEN 239.16,4.3 out of 5 stars,https://www.amazon.com/-/es/dp/B0FVSRZZP8/
B08CC3D4NS,PEN 34.10,4.4 out of 5 stars,https://www.amazon.com/-/es/dp/B08CC3D4NS/
B08THWWDTC,PEN 136.65,4.5 out of 5 stars,https://www.amazon.com/-/es/dp/B08THWWDTC/
B08BTT288G,PEN 293.83,3.7 out of 5 stars,https://www.amazon.com/-/es/dp/B08BTT288G/
